"","Cell_type","predicted_RF","predicted_KNN","predicted_XGB","all_predictions_same"
"ALL_964","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1003","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1006","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1000","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_984","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_986","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_988","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_967","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_975","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_976","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_978","Unkown","9836/3 - Pre-B ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_1026","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1031","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_762","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1034","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1039","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1019","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_761","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1023","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1056","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1057","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1062","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1065","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1081","Unkown","T Cell","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_1001","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1005","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_905","Unkown","9837/3 - Pre-T ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_985","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_989","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1086","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1089","Unkown","9837/3 - Pre-T ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_882","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_1092","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1116","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1111","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1118","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1096","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1099","Unkown","9836/3 - Pre-B ALL","T Cell","T Cell",FALSE
"ALL_1100","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1109","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_869","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_874","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_877","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_851","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_853","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1060","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1047","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1061","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1072","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1058","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1190","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1150","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1178","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1187","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1154","Unkown","T Cell","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_1162","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1163","Unkown","9837/3 - Pre-T ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"ALL_1127","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1128","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1131","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1135","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1139","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1136","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_1159","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1110","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_1097","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_878","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_784","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_808","Unkown","9836/3 - Pre-B ALL","T Cell","T Cell",FALSE
"ALL_829","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_S1","Unkown","T Cell","9837/3 - Pre-T ALL","T Cell",FALSE
"KSALL34","Unkown","9836/3 - Pre-B ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"KSALL50","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_358_r","Unkown","T Cell","T Cell","T Cell",TRUE
"ALL_210_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_257_r","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_464_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_380_r","Unkown","T Cell","9836/3 - Pre-B ALL","T Cell",FALSE
"ALL_680_r","Unkown","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL","9836/3 - Pre-B ALL",TRUE
"ALL_1026_r","Unkown","9836/3 - Pre-B ALL","T Cell","9836/3 - Pre-B ALL",FALSE
"ALL_368_r","Unkown","9836/3 - Pre-B ALL","T Cell","9837/3 - Pre-T ALL",FALSE
"SIHTALLS26","T Cell","T Cell","T Cell","T Cell",TRUE
"T78","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS3","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS12","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS12","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS14","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS10","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS28","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS10","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS6","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS19","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS5","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS24","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS9","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS16","T Cell","T Cell","T Cell","T Cell",TRUE
"T70","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS35","T Cell","T Cell","T Cell","T Cell",TRUE
"T92","T Cell","T Cell","T Cell","T Cell",TRUE
"T115","T Cell","T Cell","T Cell","T Cell",TRUE
"DMUTALLS1","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS1","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS14","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS36","T Cell","T Cell","T Cell","T Cell",TRUE
"T84","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS6","T Cell","T Cell","T Cell","T Cell",TRUE
"T105","T Cell","T Cell","T Cell","T Cell",TRUE
"T103","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS3","T Cell","T Cell","T Cell","T Cell",TRUE
"T39","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS31","T Cell","T Cell","T Cell","T Cell",TRUE
"T83","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS29","T Cell","T Cell","T Cell","T Cell",TRUE
"T112","T Cell","T Cell","T Cell","T Cell",TRUE
"T74","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS17","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS25","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS2","T Cell","T Cell","T Cell","T Cell",TRUE
"T59","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS11","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS10","T Cell","T Cell","T Cell","T Cell",TRUE
"T89","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS8","T Cell","T Cell","T Cell","T Cell",TRUE
"T60","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS7","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS12","T Cell","T Cell","T Cell","T Cell",TRUE
"T62","T Cell","T Cell","T Cell","T Cell",TRUE
"T85","T Cell","T Cell","T Cell","T Cell",TRUE
"T106","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS20","T Cell","T Cell","T Cell","T Cell",TRUE
"T114","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS6","T Cell","T Cell","T Cell","T Cell",TRUE
"T119","T Cell","T Cell","T Cell","T Cell",TRUE
"T67","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS11","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS15","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS27","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS4","T Cell","T Cell","T Cell","T Cell",TRUE
"T97","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS22","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS1","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS2","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS7","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS7","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS23","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS33","T Cell","T Cell","T Cell","T Cell",TRUE
"T104","T Cell","T Cell","T Cell","T Cell",TRUE
"T93","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS5","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS1","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS18","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS8","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS32","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS2","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS14","T Cell","T Cell","T Cell","T Cell",TRUE
"T79","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS9","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS15","T Cell","T Cell","T Cell","T Cell",TRUE
"T95","T Cell","T Cell","T Cell","T Cell",TRUE
"T80","T Cell","T Cell","T Cell","T Cell",TRUE
"T82","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS4","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS8","T Cell","T Cell","T Cell","T Cell",TRUE
"T77","T Cell","T Cell","T Cell","T Cell",TRUE
"T90","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS13","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS13","T Cell","T Cell","T Cell","T Cell",TRUE
"T91","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS13","T Cell","T Cell","T Cell","T Cell",TRUE
"T116","T Cell","T Cell","T Cell","T Cell",TRUE
"T99","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS11","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS30","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS9","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS4","T Cell","T Cell","T Cell","T Cell",TRUE
"T68","T Cell","T Cell","T Cell","T Cell",TRUE
"T61","T Cell","T Cell","T Cell","T Cell",TRUE
"T102","T Cell","T Cell","T Cell","T Cell",TRUE
"T88","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS21","T Cell","T Cell","T Cell","T Cell",TRUE
"T94","T Cell","T Cell","T Cell","T Cell",TRUE
"H301TALLS3","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS34","T Cell","T Cell","T Cell","T Cell",TRUE
"SIHTALLS37","T Cell","T Cell","T Cell","T Cell",TRUE
"CMUTALLS5","T Cell","T Cell","T Cell","T Cell",TRUE
"T101","T Cell","T Cell","T Cell","T Cell",TRUE
"DMUTALLS2","T Cell","T Cell","T Cell","T Cell",TRUE
"T81","T Cell","T Cell","T Cell","T Cell",TRUE
"T87","T Cell","T Cell","T Cell","T Cell",TRUE
